eco_code,name
E84,"King's Indian, Samisch, Panno Main line (E84)"
A15,English (A15)
D10,Queen's Gambit Declined Slav (D10)
D35,Queen's Gambit Declined (D35)
A75,"Benoni, Classical with ...a6 and 10...Bg4 (A75)"
A71,"Benoni, Classical, 8.Bg5 (A71)"
A62,"Benoni, Fianchetto Variation (A62)"
A61,Benoni (A61)
E74,"King's Indian, Averbakh, 6...c5 (E74)"
E73,King's Indian (E73)
E00,Queen's Pawn Game (E00)
D66,"Queen's Gambit Declined, Orthodox Defense, Bd3 line (D66)"
B48,"Sicilian, Taimanov Variation (B48)"
B86,"Sicilian, Fischer-Sozin Attack (B86)"
C98,"Ruy Lopez, Closed, Chigorin (C98)"
E42,"Nimzo-Indian, 4.e3 c5, 5.Ne2 (Rubinstein) (E42)"
E52,"Nimzo-Indian, 4.e3, Main line with ...b6 (E52)"
D15,Queen's Gambit Declined Slav (D15)
D18,"Queen's Gambit Declined Slav, Dutch (D18)"
B05,"Alekhine's Defense, Modern (B05)"
C11,French (C11)
C27,Vienna Game (C27)
C59,Two Knights (C59)
B04,"Alekhine's Defense, Modern (B04)"
C19,"French, Winawer, Advance (C19)"
C72,"Ruy Lopez, Modern Steinitz Defense, 5.O-O (C72)"
C99,"Ruy Lopez, Closed, Chigorin, 12...cd (C99)"
B78,"Sicilian, Dragon, Yugoslav Attack, 10.castle long (B78)"
B64,"Sicilian, Richter-Rauzer Attack (B64)"
B67,"Sicilian, Richter-Rauzer Attack, 7...a6 Defense, 8...Bd7 (B67)"
B56,Sicilian (B56)
B60,"Sicilian, Richter-Rauzer (B60)"
C76,"Ruy Lopez, Modern Steinitz Defense, Fianchetto Variation (C76)"
C79,"Ruy Lopez, Steinitz Defense Deferred (C79)"
B99,"Sicilian, Najdorf, 7...Be7 Main line (B99)"
B30,Sicilian (B30)
C80,"Ruy Lopez, Open (C80)"
B38,"Sicilian, Accelerated Fianchetto, Maroczy Bind, 6.Be3 (B38)"
D70,Neo-Grunfeld Defense (D70)
A09,Reti Opening (A09)
C24,Bishop's Opening (C24)
A19,"English, Mikenas-Carls, Sicilian Variation (A19)"
C83,"Ruy Lopez, Open (C83)"
C91,"Ruy Lopez, Closed (C91)"
C14,"French, Classical (C14)"
C33,King's Gambit Accepted (C33)
C30,King's Gambit Declined (C30)
C03,"French, Tarrasch (C03)"
C69,"Ruy Lopez, Exchange, Gligoric Variation (C69)"
A02,Bird's Opening (A02)
D67,"Queen's Gambit Declined, Orthodox Defense, Bd3 line (D67)"
E20,Nimzo-Indian (E20)
C89,"Ruy Lopez, Marshall (C89)"
C06,"French, Tarrasch (C06)"
B77,"Sicilian, Dragon, Yugoslav Attack (B77)"
D14,"Queen's Gambit Declined Slav, Exchange Variation (D14)"
A45,Queen's Pawn Game (A45)
E01,"Catalan, Closed (E01)"
C13,French (C13)
B50,Sicilian (B50)
D79,"Neo-Grunfeld, 6.O-O, Main line (D79)"
C97,"Ruy Lopez, Closed, Chigorin (C97)"
B26,"Sicilian, Closed, 6.Be3 (B26)"
A55,"Old Indian, Main line (A55)"
C66,Ruy Lopez (C66)
B61,"Sicilian, Richter-Rauzer, Larsen Variation, 7.Qd2 (B61)"
D87,"Grunfeld, Exchange (D87)"
A52,Budapest Gambit (A52)
B59,"Sicilian, Boleslavsky Variation, 7.Nb3 (B59)"
C26,Vienna (C26)
B29,"Sicilian, Nimzovich-Rubinstein (B29)"
B39,"Sicilian, Accelerated Fianchetto, Breyer Variation (B39)"
C82,"Ruy Lopez, Open (C82)"
C96,"Ruy Lopez, Closed (C96)"
D42,"Queen's Gambit Declined, Semi-Tarrasch, 7.Bd3 (D42)"
E46,Nimzo-Indian (E46)
A60,Benoni Defense (A60)
C16,"French, Winawer (C16)"
D12,Queen's Gambit Declined Slav (D12)
A80,Dutch (A80)
D43,Queen's Gambit Declined Semi-Slav (D43)
E38,"Nimzo-Indian, Classical, 4...c5 (E38)"
A41,Queen's Pawn Game (with ...d6) (A41)
E05,"Catalan, Open, Classical line (E05)"
A13,English (A13)
E39,"Nimzo-Indian, Classical, Pirc Variation (E39)"
B91,"Sicilian, Najdorf, Zagreb (Fianchetto) Variation (B91)"
C57,Two Knights (C57)
A90,Dutch (A90)
A47,Queen's Indian (A47)
C50,Giuoco Piano (C50)
D94,Grunfeld (D94)
D06,Queen's Gambit Declined (D06)
D93,"Grunfeld, with Bf4 & e3 (D93)"
C35,"King's Gambit Accepted, Cunningham (C35)"
D16,Queen's Gambit Declined Slav (D16)
A81,Dutch (A81)
E60,King's Indian Defense (E60)
B75,"Sicilian, Dragon, Yugoslav Attack (B75)"
A05,Reti Opening (A05)
C29,Vienna Gambit (C29)
C49,Four Knights (C49)
D60,"Queen's Gambit Declined, Orthodox Defense (D60)"
C88,Ruy Lopez (C88)
C85,"Ruy Lopez, Exchange Variation Doubly Deferred (DERLD) (C85)"
C12,"French, McCutcheon (C12)"
